Location,Price,Bedrooms,Bathrooms,Size (sqft),Ownership,Property type,Garden
Gateshead,199700.0,1.0,2.0,677.0,,Terraced,Yes
Gateshead,,3.0,1.0,,,Terraced,Yes
Gateshead,150800.0,2.0,1.0,503.0,,Semi-Detached,No
Newcastle,221300.0,1.0,2.0,466.0,,Detached,Yes
Gateshead,126900.0,4.0,1.0,517.0,,Semi-Detached,No
Gateshead,183300.0,4.0,1.0,404.0,Freehold,,Patio
Gateshead,133500.0,2.0,1.0,421.0,Co-operative Society,,Patio
Newcastle,262900.0,1.0,1.0,404.0,,Detached,No
Newcastle,287300.0,1.0,1.0,474.0,,Semi-Detached,Yes
Sunderland,93200.0,4.0,1.0,431.0,,Not Specified,Yes
Gateshead,232500.0,3.0,2.0,555.0,,,No
Newcastle,278100.0,2.0,1.0,471.0,Leasehold,Semi-Detached,No
Newcastle,232400.0,4.0,1.0,460.0,,Semi-Detached,Yes
Newcastle,201500.0,2.0,1.0,644.0,,Flat,Yes
Newcastle,183300.0,2.0,1.0,427.0,,Flat,Yes
Newcastle,,2.0,1.0,,,Flat,No
Newcastle,295500.0,3.0,1.0,447.0,,Apartment,Not Specified
Gateshead,153700.0,2.0,2.0,444.0,,Flat,Yes
Gateshead,,3.0,1.0,,,Terraced,No
Newcastle,,1.0,1.0,,,Detached,
Morpeth,127200.0,2.0,1.0,428.0,Freehold,Flat,
Newcastle,338800.0,1.0,1.0,609.0,,Not Specified,Yes
Gateshead,114200.0,1.0,1.0,434.0,,Flat,Not Specified
,,1.0,1.0,439.0,,Terraced,Not Specified
Consett,,2.0,,435.0,Freehold,Terraced,Yes
Gateshead,139800.0,1.0,1.0,424.0,,Apartment,Yes
Gateshead,229900.0,2.0,1.0,493.0,,Flat,No
Gateshead,149000.0,1.0,1.0,482.0,Freehold,Mansionette,
Gateshead,,2.0,1.0,,,Flat,Yes
Newcastle,234400.0,2.0,1.0,517.0,Freehold,Semi-Detached,Yes
Newcastle,208900.0,1.0,1.0,456.0,,Semi-Detached,Patio
,,5.0,1.0,447.0,,Semi-Detached,Yes
Newcastle,226800.0,4.0,1.0,463.0,Leasehold,Flat,Yes
Gateshead,113100.0,4.0,1.0,423.0,,Semi-Detached,Patio
Newcastle,253600.0,1.0,1.0,512.0,Freehold,Semi-Detached,
Newcastle,,1.0,,476.0,Leasehold,Semi-Detached,No
Newcastle,155600.0,2.0,1.0,494.0,Freehold,Semi-Detached,Patio
Newcastle,,1.0,1.0,,,Detached,Yes
Sunderland,,3.0,,833.0,,Apartment,Yes
Newcastle,461500.0,2.0,1.0,847.0,,Semi-Detached,Yes
Newcastle,290400.0,2.0,1.0,505.0,Leasehold,Mansionette,Yes
Consett,27500.0,,1.0,437.0,,Mansionette,Not Specified
Newcastle,166100.0,3.0,1.0,505.0,,Semi-Detached,Not Specified
Sunderland,74200.0,3.0,1.0,534.0,,Apartment,Yes
Gateshead,183700.0,3.0,2.0,716.0,Freehold,Terraced,
Gateshead,150300.0,1.0,2.0,411.0,,,Yes
,,2.0,1.0,428.0,,Terraced,
Gateshead,158600.0,3.0,1.0,418.0,,Not Specified,Not Specified
Newcastle,,2.0,,425.0,Freehold,,No
Sunderland,68700.0,2.0,1.0,405.0,Freehold,Semi-Detached,Patio
Gateshead,151800.0,2.0,1.0,463.0,,Flat,No
Consett,37700.0,3.0,1.0,485.0,Leasehold,Flat,Yes
Newcastle,,2.0,,418.0,,Terraced,Patio
,,1.0,1.0,458.0,Leasehold,Mansionette,No
Newcastle,205100.0,3.0,1.0,847.0,Unknown,Detached,Yes
Gateshead,182800.0,2.0,1.0,448.0,,,
Newcastle,268100.0,2.0,1.0,820.0,,Semi-Detached,Patio
Newcastle,139900.0,3.0,1.0,474.0,Leasehold,,Not Specified
Gateshead,,2.0,1.0,,,Flat,Yes
Gateshead,179500.0,3.0,1.0,488.0,Leasehold,,
Newcastle,299400.0,1.0,1.0,495.0,,Flat,Not Specified
Morpeth,62200.0,3.0,1.0,514.0,,Terraced,Yes
Newcastle,203600.0,2.0,1.0,449.0,,Not Specified,Not Specified
Newcastle,283900.0,5.0,1.0,487.0,,Semi-Detached,
Newcastle,224300.0,2.0,1.0,454.0,,Detached,No
Newcastle,310300.0,2.0,1.0,432.0,Freehold,Terraced,
Gateshead,116300.0,1.0,1.0,446.0,,Terraced,
Newcastle,204000.0,2.0,2.0,468.0,,Semi-Detached,No
Newcastle,121100.0,4.0,1.0,421.0,,Flat,Yes
Newcastle,149000.0,4.0,1.0,408.0,Unknown,Semi-Detached,Yes
Gateshead,195000.0,2.0,1.0,634.0,,Terraced,Yes
Newcastle,255400.0,1.0,1.0,722.0,Freehold,,Yes
Gateshead,173700.0,3.0,1.0,426.0,,,No
Newcastle,183200.0,2.0,1.0,510.0,Co-operative Society,,Yes
Gateshead,121900.0,2.0,1.0,459.0,,Semi-Detached,
Newcastle,345000.0,2.0,1.0,482.0,,Detached,Yes
Gateshead,162300.0,2.0,1.0,539.0,,Terraced,Yes
Newcastle,337500.0,3.0,1.0,436.0,,Semi-Detached,Yes
Sunderland,78700.0,3.0,1.0,438.0,,Mansionette,Yes
Gateshead,295200.0,2.0,1.0,1294.0,,Flat,Yes
Gateshead,,3.0,,437.0,Leasehold,Semi-Detached,No
Gateshead,202300.0,3.0,1.0,493.0,Co-operative Society,Terraced,Yes
Gateshead,190700.0,3.0,2.0,636.0,,Semi-Detached,Yes
Newcastle,168000.0,6.0,1.0,461.0,,Terraced,No
Gateshead,151300.0,1.0,1.0,456.0,,,Yes
Newcastle,202700.0,2.0,2.0,423.0,,Semi-Detached,Yes
Newcastle,,3.0,,789.0,,Terraced,No
Newcastle,239200.0,2.0,1.0,409.0,Freehold,Flat,
Morpeth,169900.0,4.0,1.0,1076.0,Freehold,Flat,Yes
Newcastle,175200.0,2.0,1.0,487.0,Leasehold,Detached,No
Gateshead,135100.0,2.0,1.0,436.0,,Terraced,Yes
Gateshead,193500.0,2.0,1.0,658.0,,Detached,Yes
Newcastle,217100.0,2.0,1.0,556.0,,Semi-Detached,
Gateshead,145300.0,1.0,1.0,437.0,,Not Specified,Yes
Sunderland,117900.0,4.0,1.0,437.0,,,Patio
Gateshead,159500.0,3.0,2.0,419.0,,,No
Morpeth,74100.0,4.0,1.0,481.0,Leasehold,Not Specified,Yes
Newcastle,134600.0,2.0,1.0,417.0,,Semi-Detached,Yes
Gateshead,123100.0,3.0,1.0,450.0,,Apartment,Yes
Gateshead,135600.0,2.0,1.0,453.0,,,
Gateshead,186600.0,1.0,1.0,481.0,Leasehold,Flat,
Gateshead,137300.0,1.0,1.0,542.0,Leasehold,Apartment,No
Gateshead,226600.0,,1.0,608.0,Leasehold,Detached,Not Specified
Newcastle,236900.0,2.0,1.0,611.0,,Not Specified,Yes
Gateshead,200100.0,3.0,1.0,710.0,Leasehold,Terraced,
,,3.0,1.0,462.0,Freehold,Not Specified,Yes
Gateshead,186500.0,4.0,1.0,425.0,,Flat,
Consett,,2.0,2.0,,,,Yes
Newcastle,203600.0,3.0,2.0,544.0,,Terraced,Yes
,,3.0,1.0,428.0,Leasehold,Semi-Detached,Yes
Newcastle,263800.0,1.0,1.0,504.0,Unknown,Terraced,
Gateshead,192100.0,2.0,2.0,490.0,Freehold,Detached,Yes
Newcastle,,3.0,,452.0,Freehold,Terraced,
Newcastle,,3.0,,427.0,Freehold,Flat,Yes
Newcastle,134100.0,2.0,1.0,481.0,Leasehold,Apartment,Patio
,,3.0,1.0,456.0,,Not Specified,Yes
Newcastle,146700.0,3.0,1.0,422.0,Freehold,Terraced,Yes
Newcastle,325200.0,3.0,2.0,834.0,,Flat,Yes
Sunderland,,4.0,,423.0,Co-operative Society,Semi-Detached,
Gateshead,202700.0,3.0,1.0,603.0,,Semi-Detached,Not Specified
Newcastle,219800.0,4.0,1.0,544.0,,Semi-Detached,Yes
Gateshead,190200.0,3.0,1.0,440.0,Freehold,,Yes
Newcastle,218100.0,2.0,2.0,499.0,,Semi-Detached,Patio
Morpeth,109600.0,2.0,1.0,431.0,,Terraced,No
Gateshead,188600.0,2.0,1.0,504.0,,Semi-Detached,No
Morpeth,83600.0,1.0,1.0,458.0,Freehold,Flat,Yes
Newcastle,204200.0,2.0,2.0,464.0,Leasehold,Semi-Detached,Yes
Morpeth,110500.0,3.0,2.0,442.0,Leasehold,Semi-Detached,
Gateshead,112900.0,2.0,1.0,427.0,Leasehold,Semi-Detached,Yes
Newcastle,,2.0,2.0,,,Flat,Yes
Newcastle,202000.0,4.0,1.0,416.0,,Not Specified,No
Morpeth,86700.0,1.0,1.0,421.0,Freehold,Semi-Detached,Not Specified
Sunderland,,2.0,1.0,,,Terraced,Patio
,,2.0,1.0,449.0,,Flat,
Gateshead,,2.0,1.0,,Freehold,Not Specified,Yes
Gateshead,183900.0,3.0,2.0,409.0,,Not Specified,Yes
Gateshead,219500.0,2.0,1.0,683.0,,Terraced,Yes
Newcastle,,2.0,,430.0,,,
Sunderland,122900.0,2.0,1.0,643.0,,Detached,No
Newcastle,247200.0,5.0,1.0,436.0,,Semi-Detached,Yes
Newcastle,411600.0,2.0,1.0,1006.0,,Semi-Detached,Yes
Newcastle,,2.0,,424.0,,Terraced,Yes
Sunderland,79300.0,2.0,1.0,485.0,,Flat,Yes
Gateshead,150200.0,2.0,1.0,460.0,,,Yes
Gateshead,176700.0,3.0,1.0,468.0,Freehold,Flat,
,,2.0,1.0,430.0,Freehold,Semi-Detached,Yes
Gateshead,150500.0,2.0,1.0,459.0,,Apartment,Not Specified
Gateshead,170100.0,2.0,1.0,429.0,Leasehold,Flat,Patio
Sunderland,106800.0,2.0,1.0,452.0,Freehold,Terraced,Not Specified
Gateshead,295500.0,3.0,2.0,880.0,,,Patio
Gateshead,197300.0,3.0,1.0,492.0,,Mansionette,Not Specified
Morpeth,78000.0,2.0,1.0,445.0,Leasehold,Semi-Detached,Yes
Sunderland,,2.0,1.0,,Freehold,Semi-Detached,Patio
Morpeth,82800.0,,1.0,704.0,,Detached,
Gateshead,99800.0,1.0,1.0,412.0,,,Yes
Gateshead,178700.0,2.0,1.0,601.0,,,Yes
Gateshead,222200.0,1.0,1.0,628.0,,Semi-Detached,Yes
Gateshead,183300.0,1.0,1.0,575.0,,Detached,
Consett,101700.0,2.0,1.0,540.0,Freehold,Detached,
Gateshead,169100.0,1.0,1.0,418.0,,Terraced,No
Newcastle,121200.0,3.0,1.0,475.0,,,No
Sunderland,96100.0,3.0,1.0,524.0,,Semi-Detached,
Gateshead,157500.0,4.0,1.0,411.0,Freehold,,Not Specified
Gateshead,173300.0,2.0,2.0,432.0,Freehold,Semi-Detached,Yes
Newcastle,,2.0,,421.0,,Semi-Detached,Not Specified
Gateshead,,1.0,1.0,,Leasehold,Terraced,Yes
Newcastle,280300.0,2.0,1.0,714.0,Co-operative Society,,No
Newcastle,302300.0,2.0,1.0,719.0,Leasehold,,Yes
Gateshead,343900.0,1.0,2.0,670.0,,Detached,No
Gateshead,177500.0,3.0,1.0,471.0,Freehold,Flat,Yes
Gateshead,,3.0,,972.0,Freehold,Semi-Detached,No
Morpeth,107400.0,3.0,1.0,491.0,Freehold,Mansionette,Yes
Gateshead,144700.0,3.0,2.0,451.0,Leasehold,Detached,No
Newcastle,171700.0,2.0,1.0,425.0,Freehold,Semi-Detached,No
Newcastle,234200.0,3.0,1.0,452.0,Unknown,Terraced,Yes
Newcastle,178200.0,5.0,2.0,454.0,,,Yes
Gateshead,162500.0,2.0,1.0,490.0,,Detached,No
Morpeth,88900.0,2.0,1.0,469.0,,Terraced,Yes
Gateshead,176100.0,1.0,1.0,446.0,Freehold,,Yes
Gateshead,141300.0,1.0,1.0,422.0,,Detached,No
Sunderland,69200.0,3.0,1.0,434.0,,Semi-Detached,Patio
Newcastle,303300.0,3.0,1.0,470.0,,Semi-Detached,Yes
Newcastle,206400.0,1.0,1.0,444.0,,Flat,Yes
Consett,50000.0,2.0,1.0,457.0,,Terraced,
Newcastle,173400.0,3.0,1.0,450.0,,Terraced,Not Specified
Newcastle,232100.0,1.0,2.0,443.0,Freehold,Semi-Detached,Yes
Gateshead,138000.0,3.0,1.0,419.0,Leasehold,Terraced,No
Morpeth,161900.0,3.0,1.0,403.0,Co-operative Society,Semi-Detached,Yes
Gateshead,140300.0,1.0,1.0,408.0,,Detached,Yes
Newcastle,,3.0,2.0,,,Terraced,Yes
Gateshead,104300.0,1.0,1.0,423.0,Leasehold,Mansionette,Patio
Gateshead,114500.0,2.0,1.0,409.0,,Flat,
Newcastle,136700.0,1.0,1.0,418.0,,Semi-Detached,Not Specified
Newcastle,135500.0,2.0,1.0,552.0,,Terraced,Yes
Sunderland,107200.0,3.0,1.0,439.0,,Mansionette,Patio
Gateshead,169200.0,1.0,2.0,502.0,,Mansionette,No
,,2.0,1.0,423.0,,Terraced,Yes
Newcastle,141100.0,3.0,1.0,422.0,Freehold,Semi-Detached,No
Gateshead,113000.0,3.0,1.0,444.0,Freehold,Semi-Detached,Yes
Newcastle,,2.0,2.0,,,Semi-Detached,Yes
Sunderland,148400.0,,1.0,428.0,Freehold,Detached,Yes
Sunderland,104300.0,2.0,1.0,436.0,Freehold,,Yes
Sunderland,85600.0,2.0,1.0,427.0,Freehold,Terraced,Yes
Morpeth,102000.0,2.0,1.0,437.0,,,Yes
Morpeth,64500.0,1.0,1.0,470.0,,Apartment,Yes
Consett,45800.0,3.0,1.0,437.0,,Apartment,Yes
Gateshead,149200.0,2.0,1.0,482.0,,Terraced,Yes
Gateshead,216700.0,2.0,1.0,567.0,,Semi-Detached,Yes
Gateshead,242000.0,2.0,1.0,728.0,Freehold,Semi-Detached,Yes
Gateshead,111700.0,3.0,1.0,402.0,,Detached,No
Newcastle,208800.0,2.0,1.0,504.0,,Flat,Yes
Gateshead,,2.0,,448.0,,Semi-Detached,
Gateshead,,2.0,1.0,,,Terraced,No
Newcastle,,3.0,,448.0,,Semi-Detached,Yes
Gateshead,132400.0,1.0,2.0,442.0,,Flat,Yes
Morpeth,73400.0,1.0,1.0,430.0,,Semi-Detached,Yes
Morpeth,109600.0,1.0,2.0,454.0,Freehold,Not Specified,Yes
Newcastle,421100.0,2.0,1.0,641.0,Freehold,,
Gateshead,130100.0,3.0,1.0,439.0,Leasehold,Terraced,Yes
,,3.0,2.0,445.0,,Terraced,Yes
Consett,,2.0,,1182.0,Freehold,Detached,
Sunderland,86300.0,2.0,1.0,613.0,,Detached,Yes
Gateshead,131100.0,2.0,1.0,430.0,Leasehold,Terraced,Not Specified
Gateshead,222100.0,2.0,1.0,504.0,,Semi-Detached,Not Specified
Newcastle,144900.0,3.0,1.0,534.0,,,Yes
Gateshead,151200.0,1.0,1.0,421.0,,Flat,Yes
Newcastle,159300.0,3.0,1.0,421.0,,Not Specified,
Gateshead,150700.0,3.0,1.0,443.0,,,
Sunderland,57600.0,2.0,1.0,427.0,,Semi-Detached,Not Specified
Newcastle,217400.0,4.0,2.0,474.0,,Flat,Not Specified
Newcastle,255700.0,,1.0,465.0,,Terraced,No
Gateshead,181200.0,3.0,1.0,542.0,,,Yes
Morpeth,102700.0,2.0,1.0,477.0,,Terraced,Yes
Newcastle,101800.0,4.0,1.0,439.0,,Terraced,Yes
Newcastle,130200.0,2.0,1.0,416.0,,Detached,Not Specified
Sunderland,113400.0,4.0,1.0,454.0,,,
Gateshead,141400.0,3.0,1.0,431.0,,Semi-Detached,Not Specified
Morpeth,104800.0,1.0,1.0,676.0,Unknown,,Yes
Gateshead,133700.0,2.0,1.0,513.0,Unknown,Semi-Detached,Yes
Gateshead,136600.0,1.0,1.0,438.0,,Semi-Detached,No
Newcastle,152800.0,4.0,1.0,530.0,Leasehold,,No
Gateshead,188400.0,3.0,1.0,665.0,,Mansionette,Yes
Gateshead,169500.0,1.0,1.0,523.0,Leasehold,Terraced,Yes
Newcastle,326900.0,2.0,0.0,680.0,,Semi-Detached,Yes
Gateshead,115100.0,2.0,1.0,405.0,Freehold,Flat,Yes
Gateshead,166300.0,2.0,1.0,435.0,Leasehold,Terraced,Not Specified
Newcastle,108600.0,1.0,1.0,532.0,Leasehold,Semi-Detached,Yes
Gateshead,168200.0,2.0,1.0,620.0,,,
Newcastle,226400.0,2.0,1.0,559.0,,Not Specified,Yes
Newcastle,271100.0,2.0,1.0,525.0,Leasehold,Semi-Detached,Not Specified
Gateshead,180900.0,1.0,1.0,621.0,Co-operative Society,Flat,
,,2.0,1.0,554.0,,Terraced,Not Specified
Newcastle,264300.0,3.0,1.0,409.0,,Flat,No
Gateshead,112900.0,2.0,1.0,435.0,Leasehold,Detached,No
Gateshead,135800.0,2.0,1.0,445.0,,Apartment,Not Specified
Consett,77100.0,3.0,1.0,481.0,Leasehold,Flat,Patio
Newcastle,232300.0,3.0,1.0,412.0,,Semi-Detached,
Gateshead,143200.0,2.0,1.0,461.0,,Flat,No
Sunderland,110200.0,6.0,2.0,442.0,,Detached,No
Newcastle,281300.0,3.0,1.0,467.0,Freehold,Terraced,Yes
Newcastle,247100.0,3.0,1.0,525.0,,,Patio
Newcastle,302900.0,2.0,1.0,735.0,Leasehold,Semi-Detached,Patio
Newcastle,225300.0,1.0,1.0,519.0,,Mansionette,Yes
Sunderland,,3.0,1.0,,Co-operative Society,Terraced,
Gateshead,172700.0,4.0,1.0,424.0,,Not Specified,No
Newcastle,320900.0,3.0,1.0,441.0,,Semi-Detached,Yes
Gateshead,165700.0,1.0,1.0,537.0,,Detached,Not Specified
Consett,61600.0,3.0,2.0,438.0,,Flat,Yes
Newcastle,334800.0,3.0,1.0,478.0,,Flat,Yes
Newcastle,295500.0,5.0,1.0,551.0,,Semi-Detached,
Newcastle,320700.0,3.0,1.0,526.0,,Not Specified,No
Sunderland,102500.0,2.0,1.0,435.0,,,Yes
Gateshead,,3.0,2.0,,,Mansionette,Yes
,,2.0,1.0,459.0,,Apartment,Yes
Consett,70400.0,3.0,0.0,432.0,Unknown,,Yes
Gateshead,217100.0,1.0,1.0,653.0,Leasehold,,Not Specified
Newcastle,319300.0,2.0,1.0,485.0,,Semi-Detached,
Newcastle,224400.0,1.0,1.0,435.0,,Semi-Detached,
Gateshead,133000.0,1.0,1.0,526.0,Freehold,,Not Specified
Sunderland,70900.0,1.0,1.0,553.0,,Semi-Detached,Not Specified
Gateshead,302000.0,2.0,1.0,838.0,Leasehold,Semi-Detached,Not Specified
Newcastle,205000.0,1.0,1.0,631.0,,Semi-Detached,
Newcastle,218800.0,1.0,2.0,428.0,,Semi-Detached,No
Newcastle,138500.0,2.0,1.0,494.0,Freehold,Flat,No
Gateshead,122700.0,2.0,2.0,433.0,Freehold,Terraced,No
,,3.0,1.0,416.0,,,
Sunderland,75000.0,2.0,1.0,484.0,Leasehold,Not Specified,Yes
Newcastle,,3.0,,441.0,,,
Gateshead,191900.0,1.0,1.0,413.0,,Semi-Detached,Yes
Gateshead,168800.0,2.0,2.0,536.0,,Detached,Yes
Newcastle,602500.0,2.0,1.0,891.0,,Detached,Yes
Sunderland,73300.0,6.0,1.0,519.0,,Flat,Yes
Consett,32900.0,3.0,1.0,464.0,Freehold,Flat,Yes
Gateshead,279200.0,1.0,1.0,634.0,,Flat,Yes
Gateshead,101300.0,2.0,1.0,436.0,,Terraced,Yes
Gateshead,96900.0,,1.0,454.0,Freehold,Detached,Yes
Gateshead,,3.0,,420.0,,Detached,Not Specified
Gateshead,132400.0,3.0,1.0,535.0,Leasehold,Semi-Detached,Yes
Newcastle,165500.0,3.0,1.0,439.0,,Semi-Detached,No
Gateshead,135000.0,2.0,1.0,481.0,Unknown,,Yes
Gateshead,169600.0,3.0,1.0,465.0,,Detached,Yes
Gateshead,141600.0,2.0,1.0,484.0,,Not Specified,
Gateshead,166100.0,1.0,1.0,426.0,Co-operative Society,Mansionette,Yes
Sunderland,186800.0,3.0,2.0,605.0,,Flat,No
Gateshead,2202300.0,3.0,1.0,6220.0,Freehold,Semi-Detached,Not Specified
Sunderland,213800.0,3.0,2.0,985.0,,Terraced,
Newcastle,237600.0,2.0,1.0,470.0,,Terraced,Yes
Newcastle,255300.0,2.0,1.0,500.0,Leasehold,Apartment,Yes
Newcastle,235400.0,,1.0,485.0,Unknown,Mansionette,
Newcastle,279100.0,3.0,1.0,953.0,,Flat,
Gateshead,183500.0,2.0,1.0,496.0,,Detached,Yes
Newcastle,236200.0,3.0,1.0,435.0,,,Yes
Sunderland,72200.0,2.0,1.0,456.0,,Apartment,No
Gateshead,164900.0,1.0,1.0,517.0,,Mansionette,Yes
Sunderland,74400.0,2.0,2.0,463.0,,,
Sunderland,95000.0,2.0,1.0,449.0,,Detached,Yes
Consett,57500.0,1.0,1.0,649.0,,,Not Specified
Newcastle,372600.0,2.0,1.0,711.0,Co-operative Society,Flat,No
Newcastle,248700.0,2.0,1.0,416.0,,,No
Consett,36800.0,2.0,1.0,475.0,,Mansionette,Yes
Newcastle,210300.0,3.0,2.0,407.0,Freehold,Semi-Detached,
,,3.0,2.0,416.0,,Semi-Detached,Yes
Sunderland,68000.0,2.0,1.0,440.0,,,Patio
Newcastle,209800.0,1.0,1.0,435.0,Freehold,Semi-Detached,Yes
Newcastle,190400.0,2.0,1.0,457.0,Leasehold,Detached,No
Newcastle,427300.0,2.0,2.0,850.0,,,Yes
Gateshead,127000.0,2.0,1.0,474.0,,Terraced,
Newcastle,,2.0,1.0,,,Terraced,No
Gateshead,202700.0,2.0,2.0,409.0,,Semi-Detached,Yes
,,2.0,1.0,419.0,,Semi-Detached,Yes
Newcastle,277300.0,2.0,1.0,510.0,Freehold,Not Specified,Not Specified
Morpeth,93400.0,3.0,1.0,429.0,,Terraced,No
Morpeth,,2.0,1.0,,Freehold,Flat,Yes
Newcastle,225800.0,2.0,1.0,831.0,,Apartment,Yes
Gateshead,387200.0,3.0,1.0,914.0,,Apartment,No
,,4.0,1.0,449.0,,Not Specified,Not Specified
Morpeth,142200.0,2.0,1.0,488.0,,,
Gateshead,178900.0,2.0,2.0,534.0,,Semi-Detached,Yes
Newcastle,323300.0,4.0,2.0,469.0,,Flat,
Newcastle,146000.0,2.0,1.0,511.0,,Apartment,Yes
Gateshead,,2.0,1.0,,,Semi-Detached,No
Newcastle,180500.0,2.0,1.0,488.0,,Flat,
Gateshead,148200.0,2.0,1.0,434.0,,Terraced,
Newcastle,,2.0,1.0,,,Semi-Detached,Yes
Gateshead,125800.0,1.0,1.0,433.0,Unknown,Flat,Yes
Newcastle,325800.0,3.0,1.0,509.0,,Mansionette,No
Newcastle,228700.0,4.0,2.0,466.0,Freehold,Flat,Patio
Gateshead,150300.0,2.0,2.0,451.0,,Detached,Yes
Newcastle,230200.0,1.0,2.0,516.0,Freehold,Terraced,Yes
Gateshead,162300.0,2.0,1.0,460.0,Freehold,Semi-Detached,Yes
Newcastle,216100.0,2.0,1.0,429.0,,Apartment,Yes
Gateshead,185000.0,2.0,1.0,442.0,,Terraced,
Newcastle,190600.0,2.0,1.0,454.0,,Apartment,Yes
,,4.0,2.0,484.0,,Apartment,Yes
Gateshead,165200.0,4.0,1.0,434.0,,Not Specified,Yes
Gateshead,227700.0,2.0,1.0,521.0,Leasehold,,Yes
Gateshead,138000.0,2.0,1.0,410.0,,Terraced,Yes
Morpeth,55000.0,3.0,1.0,458.0,,Terraced,Not Specified
Newcastle,270700.0,2.0,2.0,436.0,,Terraced,Yes
Gateshead,498800.0,1.0,1.0,1260.0,,Not Specified,
Newcastle,251100.0,2.0,1.0,428.0,,Flat,No
Newcastle,377700.0,3.0,2.0,443.0,Co-operative Society,Terraced,Yes
Gateshead,148000.0,3.0,1.0,435.0,,Not Specified,
Morpeth,101400.0,2.0,2.0,492.0,Freehold,Terraced,
Morpeth,121100.0,3.0,1.0,456.0,,Terraced,Yes
Gateshead,153000.0,3.0,1.0,450.0,Co-operative Society,Detached,No
Sunderland,72800.0,3.0,1.0,413.0,Leasehold,,Not Specified
Gateshead,491900.0,1.0,1.0,1610.0,,Semi-Detached,Yes
Newcastle,214200.0,2.0,1.0,444.0,Unknown,Flat,Yes
Newcastle,171800.0,4.0,1.0,448.0,,Semi-Detached,No
Sunderland,74400.0,3.0,1.0,412.0,,Not Specified,No
Newcastle,319100.0,2.0,1.0,517.0,,Semi-Detached,Yes
Sunderland,95000.0,4.0,1.0,438.0,,Semi-Detached,Yes
Sunderland,107600.0,2.0,2.0,464.0,,Detached,Yes
Sunderland,102300.0,2.0,1.0,442.0,Freehold,Not Specified,Yes
Newcastle,162600.0,2.0,1.0,448.0,,,Yes
Newcastle,239100.0,4.0,1.0,501.0,Freehold,,No
Newcastle,238500.0,1.0,2.0,546.0,,,Yes
Newcastle,249600.0,3.0,1.0,447.0,Co-operative Society,Terraced,Yes
Newcastle,199200.0,3.0,2.0,434.0,Freehold,Mansionette,Yes
Consett,57000.0,2.0,1.0,446.0,,Semi-Detached,No
,,4.0,1.0,414.0,Freehold,Terraced,No
Gateshead,163300.0,3.0,1.0,475.0,Freehold,Semi-Detached,No
Newcastle,156100.0,1.0,1.0,434.0,,Semi-Detached,Yes
Newcastle,144200.0,4.0,1.0,463.0,Leasehold,Mansionette,Yes
Gateshead,164800.0,1.0,1.0,470.0,Freehold,Mansionette,
Gateshead,124800.0,2.0,1.0,475.0,Unknown,Semi-Detached,Yes
Newcastle,219100.0,4.0,2.0,455.0,Freehold,Apartment,Yes
,,3.0,1.0,437.0,,Semi-Detached,Patio
Newcastle,148700.0,2.0,1.0,510.0,Leasehold,Flat,Yes
Sunderland,81700.0,2.0,1.0,456.0,Unknown,Terraced,Yes
Newcastle,306500.0,2.0,2.0,407.0,,Semi-Detached,Yes
Gateshead,128800.0,2.0,1.0,429.0,Freehold,Detached,Yes
Gateshead,161100.0,3.0,2.0,583.0,Freehold,Mansionette,Yes
,,1.0,1.0,708.0,,,Yes
Newcastle,197800.0,2.0,1.0,403.0,Freehold,,No
Newcastle,,3.0,2.0,,,Flat,No
Newcastle,298000.0,3.0,1.0,450.0,Leasehold,Apartment,
Newcastle,251000.0,2.0,2.0,633.0,,Detached,No
Newcastle,421300.0,2.0,1.0,1089.0,Leasehold,Not Specified,Yes
Newcastle,169000.0,4.0,1.0,423.0,,Semi-Detached,Yes
Morpeth,132100.0,4.0,1.0,421.0,Leasehold,Not Specified,Not Specified
Morpeth,137600.0,2.0,1.0,624.0,Freehold,Mansionette,Yes
Newcastle,,2.0,2.0,,Co-operative Society,,Yes
Gateshead,135500.0,3.0,1.0,426.0,Leasehold,Detached,Yes
Newcastle,201800.0,3.0,1.0,489.0,Freehold,Semi-Detached,Yes
Sunderland,90000.0,5.0,1.0,429.0,,Detached,Not Specified
Newcastle,168200.0,5.0,1.0,424.0,Co-operative Society,Apartment,
Newcastle,127200.0,2.0,1.0,467.0,,Semi-Detached,Yes
Newcastle,1326000.0,3.0,1.0,2854.0,,Semi-Detached,Not Specified
Newcastle,250700.0,,1.0,474.0,,Semi-Detached,No
Newcastle,394700.0,1.0,2.0,1129.0,,,Yes
Newcastle,245700.0,2.0,1.0,401.0,Leasehold,Semi-Detached,No
Newcastle,,4.0,,,Leasehold,Semi-Detached,
Gateshead,,3.0,1.0,,,Flat,No
Gateshead,150300.0,2.0,1.0,431.0,,Semi-Detached,Yes
Gateshead,273600.0,1.0,1.0,877.0,,,
Gateshead,173200.0,1.0,1.0,454.0,,Terraced,Not Specified
Sunderland,95100.0,3.0,1.0,577.0,,Mansionette,Yes
Newcastle,210300.0,2.0,1.0,542.0,,Not Specified,Yes
Newcastle,,1.0,1.0,,,Terraced,Patio
Gateshead,218100.0,2.0,1.0,548.0,Freehold,Semi-Detached,No
Morpeth,78300.0,2.0,2.0,428.0,,Terraced,Yes
Gateshead,,2.0,,440.0,Freehold,Detached,
Newcastle,235400.0,2.0,1.0,484.0,Freehold,Semi-Detached,
